mz_rt,weight,log2FC,tstat,pval,padj,abs_weight,neglog10_padj
608.5274248_601.2665,-0.0412706441488992,-0.2268103887354325,-2.886342097532053,0.0069272567258283,0.068010997782233,0.0412706441488992,1.167420853618175
608.432058_354.943,-0.0409205002407074,-0.2099996651139031,-2.50821131037911,0.0173983069526089,0.1222381048825544,0.0409205002407074,0.9127933917970923
636.4624816_450.129,-0.0408541793139239,-0.2597021644619209,-3.2268273067756863,0.0028860659559818,0.0392711523969257,0.0408541793139239,1.4059263543373606
873.7102246_713.935,-0.0406659248381643,-0.2165170760481225,-2.2389461631519865,0.0322406354754282,0.1782826046210547,0.0406659248381643,0.7488910297110097
1205.754262_504.3885,-0.0406036729706037,-0.1702698039461661,-3.4463760202187848,0.0016094789886783,0.0260373943852657,0.0406036729706037,1.5844024786568465
694.6288661_707.706,-0.0403329341831566,-0.2262318972982391,-3.1068405996527404,0.0039468474915031,0.0480101597847025,0.0403329341831566,1.3186668486340605
899.6497537_685.7265,0.0403044776999417,0.2226171966252968,1.657639946874253,0.1071633159213836,0.3677504808741463,0.0403044776999417,0.43444675071232436
337.3115028_468.187,-0.0402846814206845,-0.3280180521544171,-1.979664354276338,0.0563972139940933,0.2539432563822434,0.0402846814206845,0.5952633156365897
796.5154711_466.254,0.0402378491356033,0.3807431264856861,1.7752240089575568,0.0853739577575889,0.3221285906131247,0.0402378491356033,0.49197072754146315
794.5505144_580.677,0.0399114108217516,0.0698108606157959,1.5788202844862582,0.1242128449423348,0.389878922887311,0.0399114108217516,0.40907024242462686
832.6260586_693.0065,-0.0394375117889402,-0.2647278125669866,-2.78757585005299,0.0088608449405785,0.0811414452423766,0.0394375117889402,1.090757261172001
594.3797352_227.8075,-0.0393161027920914,-0.2419965855767038,-2.301754336224896,0.028008141915194,0.1618910330559089,0.0393161027920914,0.7907772056146706
702.5472553_622.9485,0.039048154985694,0.1979333711475326,1.8521509823172344,0.0732488877777659,0.2957288398330179,0.039048154985694,0.5291063204870943
852.6597029_640.732,-0.0389049093068571,-0.1894778189465281,-2.478523852108027,0.0186541875502407,0.124616088962674,0.0389049093068571,0.9044258830650723
676.6637558_766.214,-0.0388173564384397,-0.1806022283841599,-2.2197377713887634,0.0336451497164643,0.1828053134594561,0.0388173564384397,0.7380111851197771
1261.816264_574.809,-0.0387103492707222,-0.1459540088706129,-2.2719831417141796,0.0299476147509017,0.1706804616922023,0.0387103492707222,0.7678161910406104
722.6703842_747.577,-0.0386377184752914,-0.4259688343923896,-1.6316837017088273,0.1125501486068975,0.3736695161085738,0.0386377184752914,0.42751233037042047
799.6006221_541.698,-0.0381687046023795,-0.2953687799617658,-2.20717321582778,0.0345932693192824,0.1842713365700341,0.0381687046023795,0.7345422140896031
854.5936739_564.7625,0.0380979471256975,0.2502944435930153,1.876362347242439,0.0697514144265841,0.2885654962318075,0.0380979471256975,0.5397555987170949
853.6633161_640.7345,-0.037646477246069,-0.1873020440292731,-2.4070393029641775,0.0220259591019699,0.1413476903000431,0.037646477246069,0.8497112837301151
253.2178216_207.503,-0.0374968283826805,-0.4369075760435781,-1.7661297780285046,0.0869139604597468,0.3264280081783118,0.0374968283826805,0.48621258498118214
884.7233631_733.215,-0.0374675163637725,-0.1960794770807089,-2.8834271965859064,0.0069781433239692,0.068010997782233,0.0374675163637725,1.167420853618175
887.7260798_731.039,-0.0374172092082842,-0.1657109634450091,-2.195075289229018,0.0355286872357812,0.1856146160074469,0.0374172092082842,0.7313878287558644
797.5828703_512.36,-0.0369411039482949,-0.2804405599236455,-2.3657882147634877,0.0242157218332528,0.151813948416162,0.0369411039482949,0.8186883243438636
858.6241414_632.498,0.0369397108005629,0.2108234233012843,2.345506995015834,0.0253632307363387,0.1561075217098576,0.0369397108005629,0.8065761708748895
808.6576221_638.9915,-0.0366992171558283,-0.336935729940759,-2.4566800540822316,0.0196307067007509,0.1300733817976586,0.0366992171558283,0.8858115683204053
682.5933086_710.7625,-0.0363784983651069,-0.1411394552821242,-1.7589101703910288,0.0881531799608276,0.32956349389025,0.0363784983651069,0.48206090158685294
599.321444_154.824,-0.0358979375324116,-0.3038106747032404,-1.3940834900266292,0.1728978780627734,0.4665952669574845,0.0358979375324116,0.3310596709101884
826.5641091_688.726,-0.035672044573969,-0.1492774778690528,-1.518983772183315,0.1385859911349102,0.4122174553830359,0.035672044573969,0.3848736219308345
932.8686113_865.451,-0.0353853301681223,-0.1939105340040817,-1.5577299354192582,0.1291334935568173,0.3978342351683945,0.0353853301681223,0.40029784689038705
466.2944322_151.8275,-0.0351455667988594,-0.404094310021082,-2.1359169279093795,0.0404357476589132,0.202178738294566,0.0351455667988594,0.6942645180173108
927.6827413_739.697,-0.0349827942249431,-0.7052294075177621,-1.397416448424054,0.1719027171177508,0.4661334490010194,0.0349827942249431,0.3314897316622475
307.2649646_333.855,-0.0349398212859507,-0.3232607428196147,-1.5479388130055725,0.1314712030211385,0.3998098151575668,0.0349398212859507,0.39814654834584956
267.2335893_252.0915,-0.0348300906998198,-0.3415716815436874,-1.7804911337882212,0.0844926406726102,0.3202860565031506,0.0348300906998198,0.4944619677225399
616.3628205_148.567,-0.0346291110127208,-0.1879623748025472,-1.9858219231714176,0.0556767107274039,0.2524586512930697,0.0346291110127208,0.597809742241363
831.5750249_538.899,-0.034266012969625,-0.093817009655945,-2.0497064534712157,0.0486632342217368,0.2253439539245199,0.034266012969625,0.6471540897449595
1207.769984_540.357,0.0341639050883036,0.2272209506510623,1.823783364854165,0.0775368696461415,0.30235669263926,0.0341639050883036,0.5194804138808232
838.5992655_594.392,-0.0340705812890474,-0.1580250534031068,-1.626736109981827,0.1136019145011838,0.3745506150568025,0.0340705812890474,0.42648948542902476
431.3175658_58.769,0.0340519776801506,0.1824806786034789,2.99721000132812,0.0052318285234249,0.0561044769288332,0.0340519776801506,1.251002482274821
777.6057385_577.642,-0.0339920661502385,-0.1323222823353143,-2.262895455428838,0.0305632766423854,0.1729796559968343,0.0339920661502385,0.7620049709050197
762.5687923_600.412,-0.0338640209241041,-0.1333851031274672,-2.2108686249326475,0.0343119629104131,0.183975327447281,0.0338640209241041,0.7352404154250386
814.5990159_588.074,0.0338520076633446,0.1494964216752984,1.5823043954392892,0.1234148903951123,0.389878922887311,0.0338520076633446,0.40907024242462686
861.5417379_479.525,0.0338142430901816,0.275034968629211,1.846927020798692,0.0740229243263014,0.2957288398330179,0.0338142430901816,0.5291063204870943
871.6936124_678.406,-0.03378874708499,-0.2150513181089378,-3.050747938507257,0.0045614342387257,0.0519611493220329,0.03378874708499,1.28432125138853
829.534975_458.689,-0.0336738205634776,-0.1493555372349634,-3.0564482251520255,0.0044950594031144,0.0519611493220329,0.0336738205634776,1.28432125138853
775.5987381_577.638,-0.0335103042444197,-0.1262623761228834,-2.3239044071049646,0.0266394953678723,0.1573274545276519,0.0335103042444197,0.8031954839281684
554.3477327_163.8335,-0.0334645822927375,-0.4621061515059939,-1.5974827565193352,0.1199874142890341,0.3838587587084222,0.0334645822927375,0.415828545417069
552.3107376_104.775,-0.0332696559121878,-0.2412359759007772,-2.324913449033533,0.0265786119556519,0.1573274545276519,0.0332696559121878,0.8031954839281684
835.547941_488.1215,-0.0331079967620116,-0.17548524577654,-1.944444773528565,0.0606763954132016,0.2649485074216947,0.0331079967620116,0.5768385227257893
1235.803757_576.673,0.0328784961415863,0.1290990091816119,1.4804852906689543,0.1485232497760446,0.426201942904407,0.0328784961415863,0.3703845748218648
