mz_rt,weight,log2FC,tstat,pval,padj,abs_weight,neglog10_padj
780.5409317_439.506,0.0859253762029409,1.017466161909795,5.612418618014396,3.343009947676618e-06,0.0001072802283208,0.0859253762029409,3.9694803108615466
652.4199587_140.218,0.0853612682371622,0.8531630725214701,4.82847398932267,3.269510547469762e-05,0.0006238579585172,0.0853612682371622,3.204914280276335
638.4056477_173.775,0.0850954725355828,0.6842087508213013,4.042016424746067,0.0003111874731142,0.0040265152891812,0.0850954725355828,2.3950706474980605
698.4635941_181.67,0.0846373417811023,0.3313289671959843,5.558413613615503,3.911768025441857e-06,0.0001153256825065,0.0846373417811023,3.9380739665230364
496.3059373_93.5042,0.0845193167576399,1.101423912752481,5.21601218369902,1.06001638581516e-05,0.0002614518238801,0.0845193167576399,3.5826083241984477
828.5396901_301.01,0.0840353747884097,0.917615724046098,4.457312019671257,9.544122331106556e-05,0.0015670117129677,0.0840353747884097,2.804927757291316
680.4517032_215.176,0.0794301027655232,0.8249380196020722,4.319586166527939,0.0001415818633269,0.0021696669154517,0.0794301027655232,2.6636069333793646
574.3521852_129.799,0.0784135223357304,0.6913843582257784,4.05791543029296,0.0002975526840378,0.0039636263194475,0.0784135223357304,2.4019072964298815
722.5001799_300.0255,0.0783920826321766,0.538083700658422,3.428623876350817,0.0016881478726778,0.0167863718043741,0.0783920826321766,1.77504316184964
580.3999446_177.11,0.0771066812657711,0.5417863761928206,3.691277877490811,0.0008265332068168,0.0089774222155801,0.0771066812657711,2.0468483491081204
726.4740825_254.405,0.0763859658169496,0.9085263833395186,4.494190269335068,8.584775203438834e-05,0.0014430598318161,0.0763859658169496,2.840715661914903
506.4228096_391.146,0.0763346970064561,0.6171121319885452,4.06286271803117,0.0002934306587181,0.0039636263194475,0.0763346970064561,2.4019072964298815
608.4317628_263.899,0.0758642899537511,0.4933155493156788,3.925262385418853,0.0004318691166015,0.0053491157249244,0.0758642899537511,2.271718006301576
666.3996881_131.65,0.0754249361404207,0.4687478627833322,5.4694070221230575,5.068537190532388e-06,0.0001376302790967,0.0754249361404207,3.8612860094291266
508.4383796_442.757,0.0753731232868296,0.6852201085770889,3.754182553680544,0.0006949390130075,0.0081771157197223,0.0753731232868296,2.0873998562186373
708.4461759_150.006,0.0740968275615,0.7007354372230177,5.683877716878582,2.715783209484298e-06,9.586714729479571e-05,0.0740968275615,4.018330195676191
